Conditions_mapped_concept_id,Conditions_mapped_official_concept,Phecode Category,PhecodeString
C0007097,Carcinoma,195,"Cancer, suspected or other"
C0021359,Infertility,626,Disorders of menstruation and other abnormal bleeding from female genital tract
C0021359,Infertility,609,Male infertility and abnormal spermatozoa
C0021359,Infertility,136,Other infectious and parasitic diseases
C0007766,Intracranial Aneurysm,433,Cerebrovascular disease
C0549401,Difficult tracheal intubation (finding),1011,Complications of surgical and medical procedures
C0019559,Hip joint pain,745,Pain in joint
C2937358,Cerebral Hemorrhage,665,Obstetrical/birth trauma
C2937358,Cerebral Hemorrhage,430,Intracranial hemorrhage
C0017178,Gastrointestinal Diseases,569,Other disorders of intestine
C0017178,Gastrointestinal Diseases,656,Other perinatal conditions of fetus or newborn
C0014859,Esophageal Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0011884,Diabetic Retinopathy,250,Diabetes mellitus
C0042798,Low Vision,368,Visual disturbances
C0042798,Low Vision,367,Disorders of refraction and accommodation; blindness and low vision
C0018824,Heart valve disease,420,Carditis
C0007194,Hypertrophic Cardiomyopathy,425,Cardiomyopathy
C0004238,Atrial Fibrillation,427,Cardiac dysrhythmias
C0037284,Skin lesion,689,Disorder of skin and subcutaneous tissue NOS
C0037284,Skin lesion,656,Other perinatal conditions of fetus or newborn
C0005695,Bladder Neoplasm,189,Cancer of urinary organs (incl. kidney and bladder)
C0017185,Gastrointestinal Neoplasms,158,Neoplasm of unspecified nature of digestive system
C3698411,Asymptomatic left ventricular systolic dysfunction,414,Other forms of chronic heart disease
C3698411,Asymptomatic left ventricular systolic dysfunction,428,Congestive heart failure; nonhypertensive
C0948089,Acute Coronary Syndrome,411,Ischemic Heart Disease
C0001430,Adenoma,229,Benign neoplasm of unspecified sites
C5568086,Disorder caused by ureteric stent,857,"Mechanical complication of unspecified genitourinary device, implant, and graft"
C0949059,Polyp of large intestine,208,Benign neoplasm of colon
C0009375,Colonic Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0009404,Colorectal Neoplasms,158,Neoplasm of unspecified nature of digestive system
C0034079,Nodule of lung,514,Abnormal findings examination of lungs
C0034079,Nodule of lung,510,Other diseases of lung
C0876994,Cardiotoxicity,414,Other forms of chronic heart disease
C0017638,Glioma,191,Manlignant and unknown neoplasms of brain and nervous system
C0037274,Dermatologic disorders,689,Disorder of skin and subcutaneous tissue NOS
C0037274,Dermatologic disorders,656,Other perinatal conditions of fetus or newborn
C1290379,Acute disease of cardiovascular system,656,Other perinatal conditions of fetus or newborn
C1290379,Acute disease of cardiovascular system,459,Other disorders of circulatory system
C0457504,Anticoagulant-induced bleeding,286,Coagulation defects
C0457504,Anticoagulant-induced bleeding,459,Other disorders of circulatory system
